DatabaseClass text,Name text,HullNumber text,DateInService numeric,DateOutService numeric
"Harushio","JDS Fuyushio","SS-588","1995.1786","2999.9973"
"Harushio","JDS Harushio","SS-583","1990.9124","2009.2334"
"Harushio","JDS Hayashio","SS-585","1992.2279","2008.2"
"Harushio","JDS Natsushio","SS-584","1991.2142","2010.2307"
"Harushio","JDS Wakashio","SS-587","1994.1622","2999.9973"
"Hobart DDG","HMAS Brisbane","DDG-40","2013","2999.9973"
"Hobart DDG","HMAS Hobart","DDG-39","2013","2999.9973"
"Hobart DDG","HMAS Sydney","DDG-41","2013","2999.9973"
"CV/DDH Hyuga","JDS Hyuga","DDH-181","2009.2088","2999.9973"
"CV/DDH Hyuga","JDS Ise","DDH-182","2011.1622","2999.9973"
"Island WPB","USCGC Adak","WPB 1333","1989.88","2999.99"
"Island WPB","USCGC Anacapa","WPB 1335","1990.03","2999.99"
"Island WPB","USCGC Aquidneck","WPB 1309","1986.73","2999.99"
"Island WPB","USCGC Assateague","WPB 1337","1990.45","2999.99"
"Island WPB","USCGC Attu","WPB 1317","1988.35","2999.99"
"Island WPB","USCGC Bainbridge Island","WPB 1343","1991.72","2999.99"
"Island WPB","USCGC Baranof","WPB 1318","1988.39","2999.99"
"Island WPB","USCGC Block Island","WPB 1344","1991.89","2999.99"
"Island WPB","USCGC Chandeleur","WPB 1319","1988.43","2999.99"
"Island WPB","USCGC Chincoteague","WPB 1320","1988.6","2999.99"
"Island WPB","USCGC Cushing","WPB 1321","1988.6","2999.99"
"Island WPB","USCGC Cuttyhunk","WPB 1322","1988.76","2999.99"
"Island WPB","USCGC Drummond","WPB 1323","1988.8","2999.99"
"Island WPB","USCGC Edisto","WPB 1313","1987.23","2999.99"
"Island WPB","USCGC Farallon","WPB 1301","1986.14","2999.99"
"Island WPB","USCGC Galveston Island","WPB 1349","1992.42","2999.99"
"Island WPB","USCGC Grand Ilse","WPB 1338","1991.3","2999.99"
"Island WPB","USCGC Jefferson Island","WPB 1340","1991.62","2999.99"
"Island WPB","USCGC Key Biscayne","WPB 1339","1991.31","2999.99"
"Island WPB","USCGC Key Largo","WPB 1324","1988.98","2999.99"
"Island WPB","USCGC Kiska","WPB 1336","1990.3","2999.99"
"Island WPB","USCGC Knight Island","WPB 1348","1992.3","2999.99"
"Island WPB","USCGC Kodiak Island","WPB 1341","1991.47","2999.99"
"Island WPB","USCGC Liberty","WPB 1334","1989.72","2999.99"
"Island WPB","USCGC Long Island","WPB 1342","1991.65","2999.99"
"Island WPB","USCGC Manitou","WPB 1302","1986.16","2999.99"
"Island WPB","USCGC Matagorda","WPB 1303","1986.31","2999.99"
"Island WPB","USCGC Matinicus","WPB 1315","1987.46","2999.99"
"Island WPB","USCGC Maui","WPB 1304","1986.35","2999.99"
"Island WPB","USCGC Metompkin","WPB 1325","1989.03","2999.99"
"Island WPB","USCGC Monhegan","WPB 1305","1986.45","2999.99"
"Island WPB","USCGC monomoy","WPB 1326","1989.38","2999.99"
"Island WPB","USCGC Mustang","WPB 1310","1986.92","2999.99"
"Island WPB","USCGC Nantucket","WPB 1316","1987.61","2999.99"
"Island WPB","USCGC Naushon","WPB 1311","1986.93","2999.99"
"Island WPB","USCGC Nunivak","WPB 1306","1986.5","2999.99"
"Island WPB","USCGC Ocracoke","WPB 1307","1986.59","2999.99"
"Island WPB","USCGC orcas","WPB 1327","1989.28","2999.99"
"Island WPB","USCGC Padre","WPB 1328","1989.3","2999.99"
"Island WPB","USCGC Pea Island","WPB 1347","1992.16","2999.99"
"Island WPB","USCGC Roanoake Island","WPB 1346","1992.1","2999.99"
"Island WPB","USCGC Sanibel","WPB 1312","1987.4","2999.99"
"Island WPB","USCGC Sapelo","WPB 1314","1987.36","2999.99"
"Island WPB","USCGC Sitkinak","WPB 1329","1989.41","2999.99"
"Island WPB","USCGC Staten Island","WPB 1345","1991.89","2999.99"
"Island WPB","USCGC Tybee","WPB 1330","1989.59","2999.99"
"Island WPB","USCGC Vashon","WPB 1308","1986.62","2999.99"
"Island WPB","USCGC Washington","WPB 1331","1989.76","2999.99"
"Island WPB","USCGC Wrangell","WPB 1332","1989.7","2999.99"
"CV-67 (JFK) USS John F Kennedy","USS John F. Kennedy","CV-67","1968.68","2007.58"
"CVN-64 -67 (Kitty Hawk) Kitty Hawk","USS America","CV-66","1965.0609","2009.36"
"CVN-64 -67 (Kitty Hawk) Kitty Hawk","USS Constellation","CV-64","1961.8193","2009.36"
"CVN-64 -67 (Kitty Hawk) Kitty Hawk","USS John F. Kennedy","CV-67","1968.6824","2009.36"
"CVN-64 -67 (Kitty Hawk) Kitty Hawk","USS Kitty Hawk","CV-63","1961.3238","2009.36"
"Knox FFG","USS Ainsworth","DE-1090","1973.246","1975.495"
"Knox FFG","USS Ainsworth","FF-1090","1975.495","1994.402"
"Knox FFG","USS Aylwin","DE-1081","1971.713","1975.495"
"Knox FFG","USS Aylwin","FF-1081","1975.495","1992.369"
"Knox FFG","USS Badger","DE-1071","1970.915","1975.495"
"Knox FFG","USS Badger","FF-1071","1975.495","1991.967"
"Knox FFG","USS Bagley","DE-1069","1972.344","1975.495"
"Knox FFG","USS Bagley","FF-1069","1975.495","1991.735"
"Knox FFG","USS Barbey","DE-1088","1973.861","1975.495"
"Knox FFG","USS Barbey","FF-1088","1975.495","1992.216"
"Knox FFG","USS Blakely","DE-1072","1970.544","1975.495"
"Knox FFG","USS Blakely","FF-1072","1975.495","1991.872"
"Knox FFG","USS Bowen","DE-1079","1971.388","1975.495"
